NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,435.577344519509
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,443.99223561273607
b38a03232f43b11c9d0788abaf060f7366053b6d,579.4502849193942
70b682d9a3636be23f6120fa9d6b164eb3c6002d,-0.002219348611653793
715494628a50142ce8cb17191cfe6d0f3cae0934,534.7520975144915
e656d6bad65c93fb2880f1eba5037008c8e75774,462.8592217621437
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,530.8455223625514
11539e86171bf07d3a36f09377d7f54ebcc8406a,435.9009668966976
043c544a2104aa8a9849f1a703a08d37a2f16839,469.57175774415055
76ba050e64ad100b856f0eaabd8f539d5c7dd185,464.0779457883942
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-0.002219348611653793
db4da599aab5bb08dce27094a35fd3e36cd0abce,-0.002219348611653793
940aede382ccb332fab15d413217695ec44ca765,453.3946724794619
9ad714b116da76d878dd399d187fccc2dd13dd63,564.637491041094
dd34464a4d780b12a089347ad580418ac57a3055,530.7360883788589
f837a4cb05a5fd59d20138182f5e8c721eadd584,482.7411772374639
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-0.002219348611653793
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-0.002219348611653793
8b0c675d7fde14953668269d378c588f0df0498b,-0.002219348611653793
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,388.23817518752026
3d203727f27abd83b71732d88d8cb1cc099f363b,432.38602332650476
d30d31c8ff45094e9a992c63d4a6f68b245a341a,0.3497428794761829
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-0.002219348611653793
cbc301183dec912f3513ca766bf03dd565f3a38f,488.8358898723307
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,631.2090880811137
11282da1ee78c8db45a041db4c744e33df489df0,433.5835674570986
03c67f683a415c2ea09b582248bd4cb08528c19d,598.390040381771
046e844fb06a07ba30b41521f0065a8d9c6e5024,401.7477617653513
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,450.07316636741757
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,-0.002219348611653793
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-0.002219348611653793
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,408.51421226829325
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,566.7466167312843
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,501.0369735093611
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,560.1751700369653
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,485.15615080239195
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,457.59381386020124
59bfa081e020013410d9f60f91813964ba749bb2,434.9417734698456
f5e069ee3bc95998464e8ff5da048b7f999921ed,466.9288980622429
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,614.0737023068519
664f44258212a1f7e4086f2b4845d586c543fa3f,485.6736676047561
265cd7befa74a9f2a198fc57baec9858075f8419,430.9472008059363
6f9ac44919bbd204e0ef15185388fd2d4bc61253,508.018600503027
78de1ee60b55766cc3eba4089e36c57139b66ebd,454.3678501564775
24550edb10f283ef4e953fd6a8fedbfa211bd456,-0.002219348611653793
1e61a474acdc043eb39a89c17fab34bd2ea1a940,437.3366785469796
940af68ded6af2875708611051aa7ff3f134d80b,507.97855454297655
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,489.80239605530016
c76ddf6e9f80984e901b12f9462a3cf029bea290,485.02177414677595
